LIN28B_CB2_rRNA	LIN28B_CB2	PURA_abcam_trim	PURA_bethyl_trim
9	1	0	0
50	6	0	11
28	17	0	14
145	15	0	8
0	0	1	0
11	8	0	1
47	19	0	1
54	12	0	2
25	25	0	6
32	9	0	5
1577	856	0	252
1095	505	1	161
4	4	1	0
7	3	1	4
0	0	1	0
7	1	3	0
19	7	0	1
807	376	0	72
64	10	0	1
0	0	2	0
17	8	0	0
1119	760	0	371
11	11	0	9
2	2	0	0
10	10	0	1
69	1	0	1
41	19	0	3
652	56	0	49
129	6	0	1
382	84	0	41
80	12	0	11
76	45	0	34
0	0	0	0
0	0	1	0
12	0	1	14
0	0	1	0
2	2	1	0
0	0	2	0
0	0	1	0
213	112	1	21
34	3	0	1
7	4	0	5
52	8	0	10
540	369	0	15
57	43	0	10
13	3	0	0
0	0	1	0
16	6	0	0
152	139	0	141
23	15	0	2
67	51	1	11
215	156	0	20
48	2	0	0
205	18	0	1
10	10	0	1
97	36	0	4
44	17	0	1
116	11	0	0
8	8	0	0
139	91	0	28
41	14	0	0
12	12	0	10
163	129	0	27
24	11	0	8
7	4	0	2
15	8	0	5
48	10	0	3
173	141	1	85
30	23	0	31
37	22	0	13
19	10	0	4
18	9	0	0
85	48	0	27
102	49	0	22
18	10	0	0
50	10	0	1
128	31	0	17
19	9	0	3
15	10	1	4
59	10	0	5
8	8	0	0
46	40	0	45
0	0	1	0
48	26	0	19
45	8	1	4
42	11	0	1
78	31	0	15
48	29	0	19
18	17	0	15
1	1	1	0
266	29	2	125
68	14	0	3
9	9	0	0
16	2	1	0
69	43	0	9
882	685	1	132
13	6	0	1
7	7	0	0
531	51	0	67
4	4	0	0
13	4	0	1
77	6	0	1
20	8	0	19
0	0	1	0
12	8	0	22
5	5	0	14
12	6	0	0
1	1	2	1
0	0	1	0
1	0	2	0
16	6	0	1
0	0	0	0
51	51	0	18
55	6	0	3
93	24	0	4
90	69	0	28
207	42	0	8
12	12	0	20
0	0	2	0
0	0	1	0
170	161	0	3
9	9	0	3
114	23	0	2
422	79	0	1
818	327	1	20
41	18	0	3
49	17	0	8
36	13	0	2
54	35	0	0
69	52	0	0
28	28	0	0
11	11	0	3
73	0	0	1
39	27	0	1
16	4	0	0
6	5	0	0
28	11	0	0
19	4	0	0
19	4	0	0
0	0	1	0
0	0	1	0
10	6	0	7
0	0	1	0
6	6	0	2
12	5	0	0
46	5	0	3
31	7	0	5
81	12	0	21
9	5	0	7
26	6	0	4
298	210	0	49
34	5	0	0
0	0	1	0
28	8	0	0
238	118	0	2
232	39	3	0
10	4	0	0
28	16	0	0
71	16	0	0
3	3	1	0
25	14	0	0
317	185	0	3
80	30	1	1
65	17	0	0
876	355	1	13
901	218	0	9
5961	259	0	10
124	13	0	0
0	0	1	0
0	0	1	0
0	0	3	1
0	0	1	0
0	0	1	0
0	0	1	0
15	13	0	2
39	15	0	8
18	12	0	2
0	0	1	0
26	26	0	0
89	10	0	8
77	35	0	0
19	19	0	0
30	9	0	0
52	26	1	1
160	65	0	5
30	9	0	0
107	37	0	2
130	70	0	6
48	25	0	20
14	14	0	9
11	11	0	1
47	34	0	16
37	9	0	1
17	10	0	2
88	32	0	3
8	8	0	0
8	8	0	0
9	9	0	0
10	10	0	1
7	7	0	5
0	0	1	0
25	15	0	7
85	11	0	4
22	13	0	8
106	55	0	43
96	7	0	28
72	29	0	0
40	12	0	0
531	155	0	25
132	28	0	3
16	2	0	0
144	31	0	15
6	6	0	0
76	40	0	0
1747	220	0	2
188	56	0	1
205	11	0	0
13	9	0	1
0	0	1	0
1	1	1	1
2	2	1	0
234	89	0	4
32	32	0	1
14	10	0	0
93	39	0	2
42	41	0	0
237	57	1	223
70	32	0	13
23	1	0	0
0	0	1	0
20	1	1	0
29	0	4	1
28	12	0	0
25	25	0	1
98	9	0	10
0	0	1	0
227	189	0	5
39	33	0	3
98	13	0	0
23	2	0	0
106	92	0	0
90	8	0	0
9	6	0	0
15	7	0	0
14	9	0	1
294	215	0	30
31	5	0	0
12	9	0	0
21	12	0	0
40	10	0	0
8	5	0	0
13	13	0	0
11	10	0	1
0	0	1	0
0	0	2	0
29	4	0	0
18	18	0	0
48	26	0	1
46	22	0	25
49	42	0	49
10	5	0	1
11	11	0	0
302	142	0	4
43	19	0	24
0	0	1	0
0	0	1	0
13	13	0	0
55	8	0	0
10	10	0	1
131	13	0	0
6	1	1	1
35	8	0	0
56	52	0	0
72	66	0	2
176	112	0	5
43	15	0	0
7	7	0	0
25	5	0	0
18	9	0	0
0	0	1	0
24	24	0	15
15	8	0	0
6	6	0	1
7	7	0	1
8	8	0	1
0	0	1	0
7	5	0	0
0	0	1	0
21	9	0	0
25	3	0	0
0	0	2	0
18	18	0	0
47	11	0	7
168	35	0	16
7	7	0	0
132	19	0	5
0	0	0	0
24	1	12	6
5	5	0	1
197	111	0	126
51	22	0	3
34	16	1	1
10	10	0	0
100	15	0	4
0	0	1	0
65	15	5	34
1	0	2	0
983	145	0	18
12	12	0	0
335	284	2	40
573	551	0	148
98	26	0	9
40	10	0	0
100	21	0	17
29	13	0	3
33	3	2	1
24	14	1	13
23	4	0	5
338	7	4	10
128	58	0	16
18	18	0	1
5	5	0	0
25	25	0	11
55	20	0	4
32	6	0	0
54	12	0	0
326	23	0	6
177	68	0	6
82	4	0	1
10	7	0	0
26	12	0	0
3	3	0	0
28	9	0	1
20	6	0	0
64	28	0	2
46	24	0	0
26	6	0	1
15	6	1	0
43	6	0	0
45	15	0	0
6	6	2	0
34	34	0	8
21	3	0	0
103	64	0	0
2	2	1	0
17	4	0	0
11	11	0	0
100	2	0	0
22	5	0	0
0	0	1	0
0	0	2	1
12	4	0	0
0	0	1	0
14	13	0	2
8	8	0	0
0	0	1	0
17	8	0	0
0	0	2	0
31	20	2	4
695	461	1	55
2543	1625	2	441
1457	1269	3	124
617	582	4	142
0	0	2	2
397	230	0	138
288	70	0	9
1149	760	3	223
7	7	0	0
154	90	0	32
192	68	0	31
31	19	0	3
163	42	0	19
237	146	0	65
31	8	0	5
15	15	0	3
8	8	0	7
42	40	0	5
21	2	1	0
2	2	0	0
72	28	0	1
37	3	0	1
26	15	0	0
27	22	0	2
0	0	1	0
110	107	0	111
414	47	1	23
8	6	0	0
1722	1552	4	715
0	0	1	0
24	9	0	0
295	198	0	46
52	33	2	10
0	0	1	0
7	7	0	0
14	6	0	1
35	10	0	0
18	14	0	0
79	32	0	0
24	19	0	7
21	12	0	0
21	19	0	3
90	10	0	7
0	0	1	0
0	0	1	10
22	6	0	0
30	15	0	0
70	18	0	0
12	12	0	0
43	8	0	0
16	6	0	0
16	6	0	0
13	7	0	0
15	6	0	2
8	5	0	0
47	3	1	5
70	20	0	2
7	7	0	0
11	6	0	0
